Fire_ID,Fire_Year,Fire_Start,BurnDay,sdd,tssm,avgBio,cc,age,tri,RBR_median,RBR_quant,RBR_cv,FIRE_FINAL,size_class,dc,pyroregion
NIP20_2005_1521,2005,2005-06-21,171,101,70,107.415519714355,75.3913116455078,96.9455718994141,20.4031238555908,295.4473562,460.783296586067,0.583330631,13623,3,228.344001687317,1
NIP52_2005_1522,2005,2005-07-26,206,98,108,77.4769439697266,59.452262878418,79.2132263183594,18.5635738372803,337.2656486,492.249083730916,0.436991513,134,1,265.601433365002,1
THU30_2005_1525,2005,2005-07-25,205,105,100,102.18106842041,70.490966796875,94.6733856201172,9.93292999267578,166.4663387,272.792759362931,0.484222859,429,1,208.6074030749,1
THU57_2005_1526,2005,2005-08-07,218,99,119,72.720573425293,53.8135566711426,81.1620941162109,14.4364757537842,124.9559996,261.259334794959,0.707384109,6000,2,265.903295447286,1
THU67_2005_1528,2005,2005-08-08,219,104,115,89.7830429077148,60.4044799804688,91.2460479736328,10.263466835022,108.872735,189.581303844654,0.581949949,2326,2,256.386652561658,1
TIM56_2005_1529,2005,2005-07-18,198,87,111,72.7978363037109,52.174259185791,82.3894500732422,2.07451462745667,295.2758044,487.253508189107,0.41890806,67,1,344.333635206074,0
FOR18_2005_1520,2005,2005-08-01,212,93,119,69.2440338134766,52.1072006225586,71.0545272827148,12.3899078369141,108.6817978,262.894242154029,0.794505775,84,1,206.32725038034,1
NIP80_2005_1523,2005,2005-08-18,229,105,124,74.7704544067383,58.2282257080078,72.4830474853516,49.1989898681641,166.9678461,256.557289640942,0.55975759,4400,2,341.372084351749,1
THU65_2005_1527,2005,2005-08-10,221,106,115,74.8179473876953,51.5748634338379,89.0625076293945,15.7124042510986,111.1280802,190.690778787748,0.643021882,1574,2,247.901711475114,1
SLK11_2007_1658,2007,2007-05-11,130,102,28,63.4753837585449,53.812255859375,74.2605438232422,16.4070682525635,228.0298135,393.856258489604,0.571050346,16702,3,162.098950944278,1
DRY10_2007_1659,2007,2007-05-06,125,97,28,61.5518074035645,48.5521240234375,64.9540824890137,46.1167945861816,80.66807217,218.86084348633,0.743372858,67,1,173.497319863711,1
NIP26_2007_1660,2007,2007-05-11,130,90,40,71.2615966796875,60.0569534301758,68.2421951293945,20.324291229248,323.6586099,392.162264429739,0.231071874,120,1,142.088051518512,1
THU39_2007_1661,2007,2007-05-14,133,102,31,52.1874084472656,59.7082481384277,63.0572776794434,15.1753854751587,256.6058134,390.106770505537,0.437391847,685,2,185.849054465906,1
THU37_2007_1662,2007,2007-05-10,129,100,29,64.6724014282227,51.0943908691406,67.9443702697754,38.4715538024902,328.7126485,454.393578050916,0.407567888,13051,3,160.306267710375,1
